question,option1,option2,option3,option4,correct
The company needs employees who can _____ well with clients and colleagues.,communicate,compete,comply,confirm,1
She received a _____ for completing the advanced accounting course.,certificate,capacity,commitment,complaint,1
The factory is running at full _____ this month.,capacity,certificate,conflict,contract,1
The two departments need to _____ on the new product launch.,collaborate,comply,confirm,conduct,1
He has been a trusted _____ for over ten years.,colleague,candidate,customer,contract,1
The team showed great _____ by working overtime to meet the deadline.,commitment,capacity,complaint,concern,1
All staff must _____ with the new safety regulations.,comply,compete,confirm,contribute,1
The customer filed a _____ about the delayed shipment.,complaint,commitment,conflict,concern,1
The manager asked her to _____ the meeting agenda before sending it out.,clarify,complete,confirm,coordinate,1
The project was _____ ahead of schedule.,complete,current,corporate,cost,1
The new policy will _____ all employees regardless of department.,concern,complete,confirm,conflict,1
Please _____ your reservation at least 24 hours in advance.,confirm,clarify,complete,conduct,1
There was a _____ between the two teams over the project timeline.,conflict,concern,contract,cost,1
The HR manager will _____ interviews next week.,conduct,confirm,contribute,coordinate,1
The _____ between the two firms was signed yesterday.,contract,cost,criteria,current,1
Each employee is encouraged to _____ ideas during the meeting.,contribute,compete,comply,confirm,1
The logistics team will _____ the delivery schedule.,coordinate,conduct,confirm,contribute,1
The new _____ policy requires all staff to wear ID badges.,corporate,current,cost,criteria,1
She _____ with three other candidates for the promotion.,competed,confirmed,contributed,coordinated,1
The _____ of the new equipment was higher than expected.,cost,criteria,customer,deadline,1
The selection _____ for the award include experience and performance.,criteria,cost,contract,concern,1
The _____ trend shows an increase in online sales.,current,corporate,complete,confirm,1
The store values every _____ and aims to provide excellent service.,customer,colleague,candidate,contract,1
The team must finish the report before the _____ on Friday.,deadline,decision,decline,deposit,1
The board made a final _____ to expand into new markets.,decision,deadline,decline,deposit,1
Sales began to _____ after the competitor launched a new product.,decline,decide,deposit,distribute,1
A _____ is required to reserve the conference room.,deposit,deadline,decision,decline,1
The company plans to _____ its services to Southeast Asia.,expand,decline,deposit,distribute,1
The manager will _____ the new tasks among team members.,distribute,decline,deposit,decide,1
The document needs to be _____ for all regional offices.,duplicated,distributed,declined,deposited,1
