front,back
ability,khả năng / năng lực
accomplish,hoàn thành / đạt được
accurate,chính xác
achieve,đạt được / hoàn thành
address,giải quyết / đề cập đến
adequate,đầy đủ / thích hợp
adjust,điều chỉnh
administration,ban quản trị / hành chính
advantage,lợi thế / ưu điểm
agenda,chương trình nghị sự
agreement,thỏa thuận / hợp đồng
allocate,phân bổ / phân chia
announce,thông báo
annual,hàng năm
apply,ứng tuyển / áp dụng
appoint,bổ nhiệm
approval,sự chấp thuận
arrange,sắp xếp
assess,đánh giá
assign,giao việc / phân công
assist,hỗ trợ / giúp đỡ
associate,cộng sự / liên kết
assume,giả định / đảm nhận
attend,tham dự / tham gia
authorize,ủy quyền / cho phép
available,có sẵn / rảnh rỗi
benefit,lợi ích / phúc lợi
branch,chi nhánh
budget,ngân sách
candidate,ứng viên
