front,back
capacity,năng lực / công suất
certificate,chứng chỉ / giấy chứng nhận
clarify,làm rõ / giải thích
collaborate,hợp tác / cộng tác
colleague,đồng nghiệp
commitment,cam kết / sự cống hiến
communicate,giao tiếp / truyền đạt
compensation,thù lao / bồi thường
compete,cạnh tranh
complaint,khiếu nại / phàn nàn
complete,hoàn thành / đầy đủ
comply,tuân thủ / chấp hành
concern,mối lo ngại / liên quan đến
conduct,tiến hành / thực hiện
confirm,xác nhận
conflict,xung đột / mâu thuẫn
consider,xem xét / cân nhắc
contract,hợp đồng
contribute,đóng góp
coordinate,phối hợp / điều phối
corporate,thuộc công ty / doanh nghiệp
correspond,liên lạc / tương ứng
cost,chi phí / giá cả
create,tạo ra / sáng tạo
criteria,tiêu chí / tiêu chuẩn
current,hiện tại / hiện hành
customer,khách hàng
deadline,hạn chót
decision,quyết định
decline,từ chối / giảm sút
